Posicao do objeto 1 Real no Unity: X=-0,7254996, Y=2,36635, Z=3,371529
Posicao do objeto Virtual 1: X=-0,06757611, Y=-0,04083246, Z=0,5144638
Posicao do objeto 1 Real no Unity: X=-0,7422297, Y=2,327282, Z=3,394341
Posicao do objeto Virtual 1: X=-0,06664759, Y=-0,0409115, Z=0,5138577
Posicao do objeto 1 Real no Unity: X=-0,7482369, Y=2,41581, Z=3,352354
Posicao do objeto Virtual 1: X=-0,06497017, Y=-0,04218668, Z=0,528983
Posicao do objeto 1 Real no Unity: X=-0,7780875, Y=2,452884, Z=3,326509
Posicao do objeto Virtual 1: X=-0,06386858, Y=-0,04210752, Z=0,5366708
Posicao do objeto 1 Real no Unity: X=-0,7525896, Y=2,41959, Z=3,37208
Posicao do objeto Virtual 1: X=-0,06355518, Y=-0,04118925, Z=0,5402926
Posicao do objeto 1 Real no Unity: X=-0,7157456, Y=2,349564, Z=3,440488
Posicao do objeto Virtual 1: X=-0,06300971, Y=-0,04133004, Z=0,5407946
Posicao do objeto 1 Real no Unity: X=-0,6780223, Y=2,305405, Z=3,489804
Posicao do objeto Virtual 1: X=-0,06363732, Y=-0,04154128, Z=0,5432954
Posicao do objeto 1 Real no Unity: X=-0,6110473, Y=2,314404, Z=3,516187
Posicao do objeto Virtual 1: X=-0,06449273, Y=-0,04223174, Z=0,5502746
Posicao do objeto 1 Real no Unity: X=-0,7631974, Y=2,438311, Z=3,395903
Posicao do objeto Virtual 1: X=-0,06496, Y=-0,04265916, Z=0,5630604
Posicao do objeto 1 Real no Unity: X=-0,7764949, Y=2,431635, Z=3,399941
Posicao do objeto Virtual 1: X=-0,06451362, Y=-0,04373759, Z=0,5654639
Posicao do objeto 1 Real no Unity: X=-0,8100981, Y=2,491611, Z=3,353665
Posicao do objeto Virtual 1: X=-0,0664953, Y=-0,04506904, Z=0,5743011
Posicao do objeto 1 Real no Unity: X=-0,8052663, Y=2,512662, Z=3,35128
Posicao do objeto Virtual 1: X=-0,06764477, Y=-0,0465461, Z=0,5819335
Posicao do objeto 1 Real no Unity: X=-0,7932608, Y=2,493348, Z=3,379413
Posicao do objeto Virtual 1: X=-0,06912941, Y=-0,04740542, Z=0,5856102
Posicao do objeto 1 Real no Unity: X=-0,7385134, Y=2,465846, Z=3,436398
Posicao do objeto Virtual 1: X=-0,07094318, Y=-0,04760778, Z=0,5917315
Posicao do objeto 1 Real no Unity: X=-0,8608891, Y=2,535143, Z=3,342249
Posicao do objeto Virtual 1: X=-0,07120627, Y=-0,04794556, Z=0,5979878
Posicao do objeto 1 Real no Unity: X=-0,9317878, Y=2,557845, Z=3,293929
Posicao do objeto Virtual 1: X=-0,07009566, Y=-0,04869568, Z=0,6004435
Posicao do objeto 1 Real no Unity: X=-0,9702824, Y=2,555974, Z=3,278195
Posicao do objeto Virtual 1: X=-0,06874335, Y=-0,04987961, Z=0,6023579
Posicao do objeto 1 Real no Unity: X=-0,9649329, Y=2,593974, Z=3,264762
Posicao do objeto Virtual 1: X=-0,06975615, Y=-0,04966348, Z=0,6115075
Posicao do objeto 1 Real no Unity: X=-0,7792534, Y=2,555612, Z=3,394243
Posicao do objeto Virtual 1: X=-0,07054764, Y=-0,04852134, Z=0,6170099
Posicao do objeto 1 Real no Unity: X=-0,9280427, Y=2,595138, Z=3,292158
Posicao do objeto Virtual 1: X=-0,06933975, Y=-0,0484851, Z=0,6157947
Posicao do objeto 1 Real no Unity: X=-0,7742713, Y=2,586418, Z=3,373222
Posicao do objeto Virtual 1: X=-0,06945291, Y=-0,04882973, Z=0,6204048
Posicao do objeto 1 Real no Unity: X=-1,04826, Y=2,643167, Z=3,19674
Posicao do objeto Virtual 1: X=-0,06430662, Y=-0,04902416, Z=0,6226649
Posicao do objeto 1 Real no Unity: X=-1,038351, Y=2,634398, Z=3,216596
Posicao do objeto Virtual 1: X=-0,06066865, Y=-0,04878163, Z=0,6253802
Posicao do objeto 1 Real no Unity: X=-1,037617, Y=2,620716, Z=3,238848
Posicao do objeto Virtual 1: X=-0,05758101, Y=-0,046776, Z=0,6282294
Posicao do objeto 1 Real no Unity: X=-1,000271, Y=2,598075, Z=3,287083
Posicao do objeto Virtual 1: X=-0,05495548, Y=-0,04570645, Z=0,6310073
Posicao do objeto 1 Real no Unity: X=-0,6989613, Y=2,502326, Z=3,512876
Posicao do objeto Virtual 1: X=-0,05297104, Y=-0,04416329, Z=0,6367818
Posicao do objeto 1 Real no Unity: X=-0,8683065, Y=2,533535, Z=3,428211
Posicao do objeto Virtual 1: X=-0,04786932, Y=-0,04236841, Z=0,6395849
Posicao do objeto 1 Real no Unity: X=-0,785761, Y=2,52001, Z=3,482568
Posicao do objeto Virtual 1: X=-0,04328805, Y=-0,04271293, Z=0,6450665
Posicao do objeto 1 Real no Unity: X=-0,7868584, Y=2,467525, Z=3,522291
Posicao do objeto Virtual 1: X=-0,03738242, Y=-0,04498816, Z=0,6459422
Posicao do objeto 1 Real no Unity: X=-0,5868602, Y=2,449294, Z=3,619635
Posicao do objeto Virtual 1: X=-0,03541064, Y=-0,04697323, Z=0,6556284
Posicao do objeto 1 Real no Unity: X=-0,8239209, Y=2,592189, Z=3,422561
Posicao do objeto Virtual 1: X=-0,02991313, Y=-0,04980683, Z=0,6637646
Posicao do objeto 1 Real no Unity: X=-0,6942942, Y=2,475796, Z=3,568004
Posicao do objeto Virtual 1: X=-0,02214748, Y=-0,05184591, Z=0,6633782
Posicao do objeto 1 Real no Unity: X=-0,6157402, Y=2,43744, Z=3,643356
Posicao do objeto Virtual 1: X=-0,01461044, Y=-0,05278021, Z=0,674387
Posicao do objeto 1 Real no Unity: X=-0,6377811, Y=2,542856, Z=3,575637
Posicao do objeto Virtual 1: X=-0,008162528, Y=-0,05370194, Z=0,6904554
Posicao do objeto 1 Real no Unity: X=-0,6122064, Y=2,487048, Z=3,62487
Posicao do objeto Virtual 1: X=-0,00113821, Y=-0,05428338, Z=0,6887518
Posicao do objeto 1 Real no Unity: X=-0,7039363, Y=2,472005, Z=3,605564
Posicao do objeto Virtual 1: X=0,006092846, Y=-0,05497259, Z=0,6903813
Posicao do objeto 1 Real no Unity: X=-0,670361, Y=2,465614, Z=3,634608
Posicao do objeto Virtual 1: X=0,01284146, Y=-0,05705106, Z=0,698903
Posicao do objeto 1 Real no Unity: X=-0,5761049, Y=2,413274, Z=3,716865
Posicao do objeto Virtual 1: X=0,0181917, Y=-0,05794156, Z=0,7052968
Posicao do objeto 1 Real no Unity: X=-0,4277544, Y=2,4103, Z=3,788504
Posicao do objeto Virtual 1: X=0,0231829, Y=-0,05703539, Z=0,7195592
Posicao do objeto 1 Real no Unity: X=-0,142956, Y=2,320813, Z=3,92537
