Posicao do objeto Real no Unity: X=0,4876382, Y=1,224091, Z=3,663311
Posicao do objeto Virtual: X=0,02612416, Y=-0,009152859, Z=0,2974908
Posicao do objeto Real no Unity: X=0,4994878, Y=1,201772, Z=3,664929
Posicao do objeto Virtual: X=0,02807538, Y=-0,007742465, Z=0,2951983
Posicao do objeto Real no Unity: X=0,5205982, Y=1,189245, Z=3,665495
Posicao do objeto Virtual: X=0,0296802, Y=-0,008188784, Z=0,2945685
Posicao do objeto Real no Unity: X=0,5419928, Y=1,188008, Z=3,664081
Posicao do objeto Virtual: X=0,03204825, Y=-0,00730148, Z=0,2936999
Posicao do objeto Real no Unity: X=0,5570329, Y=1,164743, Z=3,66803
Posicao do objeto Virtual: X=0,0338098, Y=-0,006613612, Z=0,2930976
Posicao do objeto Real no Unity: X=0,5529299, Y=1,079852, Z=3,662588
Posicao do objeto Virtual: X=0,03412151, Y=-0,004140586, Z=0,279443
Posicao do objeto Real no Unity: X=0,5340239, Y=1,108263, Z=3,658393
Posicao do objeto Virtual: X=0,03476606, Y=-0,004890472, Z=0,2797576
Posicao do objeto Real no Unity: X=0,5928541, Y=1,098591, Z=3,665057
Posicao do objeto Virtual: X=0,03299118, Y=-0,006495118, Z=0,2856752
Posicao do objeto Real no Unity: X=0,5664555, Y=1,109549, Z=3,662789
Posicao do objeto Virtual: X=0,03044824, Y=-0,007648468, Z=0,2852271
Posicao do objeto Real no Unity: X=0,4838508, Y=1,180376, Z=3,652337
Posicao do objeto Virtual: X=0,02469513, Y=-0,0156568, Z=0,2894986
Posicao do objeto Real no Unity: X=0,504772, Y=1,135069, Z=3,659688
Posicao do objeto Virtual: X=0,0222919, Y=-0,01794213, Z=0,2899642
Posicao do objeto Real no Unity: X=0,4848005, Y=1,112097, Z=3,661737
Posicao do objeto Virtual: X=0,019862, Y=-0,01921597, Z=0,2887164
Posicao do objeto Real no Unity: X=0,4611878, Y=1,112703, Z=3,660724
Posicao do objeto Virtual: X=0,01819837, Y=-0,02122891, Z=0,2885963
Posicao do objeto Real no Unity: X=0,4498899, Y=1,10761, Z=3,65944
Posicao do objeto Virtual: X=0,01714458, Y=-0,0249573, Z=0,2887595
Posicao do objeto Real no Unity: X=0,4680864, Y=1,096337, Z=3,661066
Posicao do objeto Virtual: X=0,01673611, Y=-0,02880806, Z=0,2904599
Posicao do objeto Real no Unity: X=0,4817064, Y=1,079311, Z=3,663448
Posicao do objeto Virtual: X=0,01544991, Y=-0,03173876, Z=0,2916557
Posicao do objeto Real no Unity: X=0,5119791, Y=1,009584, Z=3,670926
Posicao do objeto Virtual: X=0,01256308, Y=-0,03682584, Z=0,2921599
Posicao do objeto Real no Unity: X=0,4865084, Y=0,976614, Z=3,671682
Posicao do objeto Virtual: X=0,01117903, Y=-0,03938124, Z=0,2900994
Posicao do objeto Real no Unity: X=0,4913334, Y=0,9556751, Z=3,672814
Posicao do objeto Virtual: X=0,01082171, Y=-0,04266675, Z=0,2902781
Posicao do objeto Real no Unity: X=0,499131, Y=0,963607, Z=3,672203
Posicao do objeto Virtual: X=0,009194747, Y=-0,0463246, Z=0,2920784
Posicao do objeto Real no Unity: X=0,4835684, Y=0,9583249, Z=3,671098
Posicao do objeto Virtual: X=0,007796645, Y=-0,049942, Z=0,2921853
Posicao do objeto Real no Unity: X=0,4902074, Y=0,9183976, Z=3,672468
Posicao do objeto Virtual: X=0,007348567, Y=-0,05453412, Z=0,2918303
Posicao do objeto Real no Unity: X=0,5172278, Y=0,8499828, Z=3,676363
Posicao do objeto Virtual: X=0,007211596, Y=-0,05717807, Z=0,2912924
Posicao do objeto Real no Unity: X=0,5378575, Y=0,8230939, Z=3,677626
Posicao do objeto Virtual: X=0,008604705, Y=-0,05898392, Z=0,2915379
Posicao do objeto Real no Unity: X=0,5506663, Y=0,7753907, Z=3,676293
Posicao do objeto Virtual: X=0,009222314, Y=-0,0630771, Z=0,289795
Posicao do objeto Real no Unity: X=0,5603443, Y=0,7322202, Z=3,671584
