Posicao do objeto Virtual 1: X=0,007410437, Y=-0,06684338, Z=0,4328606
Posicao do objeto 1 Real no Unity: X=1,323759, Y=1,00225, Z=3,704534
Posicao do objeto Virtual 1: X=0,007962108, Y=-0,06562278, Z=0,4350126
Posicao do objeto 1 Real no Unity: X=1,360785, Y=0,9750129, Z=3,692504
Posicao do objeto Virtual 1: X=0,007277116, Y=-0,06615838, Z=0,4340456
Posicao do objeto 1 Real no Unity: X=1,359686, Y=0,9622243, Z=3,69647
Posicao do objeto Virtual 1: X=0,008385763, Y=-0,0692066, Z=0,4356422
Posicao do objeto 1 Real no Unity: X=1,406344, Y=0,9455418, Z=3,685898
Posicao do objeto Virtual 1: X=0,01086223, Y=-0,06761599, Z=0,4374948
Posicao do objeto 1 Real no Unity: X=1,405856, Y=0,9586347, Z=3,69141
Posicao do objeto Virtual 1: X=0,01278031, Y=-0,06399889, Z=0,4389632
Posicao do objeto 1 Real no Unity: X=1,365046, Y=0,9898338, Z=3,704045
Posicao do objeto Virtual 1: X=0,01203898, Y=-0,0617473, Z=0,4394146
Posicao do objeto 1 Real no Unity: X=1,291057, Y=1,084383, Z=3,730049
Posicao do objeto Virtual 1: X=0,01136209, Y=-0,05562992, Z=0,4456714
Posicao do objeto 1 Real no Unity: X=1,319215, Y=1,108721, Z=3,716146
Posicao do objeto Virtual 1: X=0,01292057, Y=-0,05080274, Z=0,4447062
Posicao do objeto 1 Real no Unity: X=1,35833, Y=1,087963, Z=3,698404
Posicao do objeto Virtual 1: X=0,01223922, Y=-0,05288462, Z=0,4420381
Posicao do objeto 1 Real no Unity: X=1,339974, Y=1,048949, Z=3,710788
Posicao do objeto Virtual 1: X=0,01311436, Y=-0,05414893, Z=0,4409622
Posicao do objeto 1 Real no Unity: X=1,238312, Y=1,204365, Z=3,73214
Posicao do objeto Virtual 1: X=0,01007776, Y=-0,04233903, Z=0,4470422
Posicao do objeto 1 Real no Unity: X=1,266972, Y=1,223007, Z=3,716602
Posicao do objeto Virtual 1: X=0,01654969, Y=-0,04115078, Z=0,4444622
Posicao do objeto 1 Real no Unity: X=1,497919, Y=1,055179, Z=3,636705
Posicao do objeto Virtual 1: X=0,01080304, Y=-0,05232942, Z=0,4374402
Posicao do objeto 1 Real no Unity: X=1,298949, Y=1,059456, Z=3,739954
Posicao do objeto Virtual 1: X=0,01231872, Y=-0,05873497, Z=0,4504853
Posicao do objeto 1 Real no Unity: X=1,365087, Y=1,075131, Z=3,72013
Posicao do objeto Virtual 1: X=0,0179604, Y=-0,05169375, Z=0,450166
Posicao do objeto 1 Real no Unity: X=1,399462, Y=1,089887, Z=3,706643
Posicao do objeto Virtual 1: X=0,02100293, Y=-0,04923949, Z=0,4501796
Posicao do objeto 1 Real no Unity: X=1,418687, Y=1,105755, Z=3,703405
Posicao do objeto Virtual 1: X=0,02539736, Y=-0,04733175, Z=0,4523734
Posicao do objeto 1 Real no Unity: X=1,45575, Y=1,079817, Z=3,696244
Posicao do objeto Virtual 1: X=0,02955326, Y=-0,04598519, Z=0,4517688
Posicao do objeto 1 Real no Unity: X=1,548343, Y=1,068032, Z=3,649354
Posicao do objeto Virtual 1: X=0,02908418, Y=-0,04977697, Z=0,4492579
Posicao do objeto 1 Real no Unity: X=1,512845, Y=1,060032, Z=3,679272
Posicao do objeto Virtual 1: X=0,03122325, Y=-0,05234633, Z=0,4550756
Posicao do objeto 1 Real no Unity: X=1,547398, Y=1,020617, Z=3,66625
Posicao do objeto Virtual 1: X=0,03199086, Y=-0,05024682, Z=0,4516525
Posicao do objeto 1 Real no Unity: X=1,550133, Y=1,008979, Z=3,668869
Posicao do objeto Virtual 1: X=0,03314981, Y=-0,05012128, Z=0,4518691
Posicao do objeto 1 Real no Unity: X=1,519538, Y=1,028187, Z=3,686691
Posicao do objeto Virtual 1: X=0,03596902, Y=-0,05001779, Z=0,4548899
Posicao do objeto 1 Real no Unity: X=1,584265, Y=1,015114, Z=3,668144
Posicao do objeto Virtual 1: X=0,04224813, Y=-0,04668541, Z=0,4555124
Posicao do objeto 1 Real no Unity: X=1,729191, Y=0,9955592, Z=3,61045
Posicao do objeto Virtual 1: X=0,04866153, Y=-0,05014193, Z=0,4586909
Posicao do objeto 1 Real no Unity: X=1,773114, Y=0,9537659, Z=3,588397
Posicao do objeto Virtual 1: X=0,04663029, Y=-0,052203, Z=0,4565384
Posicao do objeto 1 Real no Unity: X=1,74956, Y=0,913856, Z=3,602011
Posicao do objeto Virtual 1: X=0,04337928, Y=-0,0564184, Z=0,4561596
Posicao do objeto 1 Real no Unity: X=1,702085, Y=0,9304796, Z=3,626113
Posicao do objeto Virtual 1: X=0,04282242, Y=-0,05900286, Z=0,4584761
Posicao do objeto 1 Real no Unity: X=1,72449, Y=0,8813204, Z=3,617813
Posicao do objeto Virtual 1: X=0,04119977, Y=-0,06036356, Z=0,4573616
Posicao do objeto 1 Real no Unity: X=1,655668, Y=0,8965965, Z=3,649728
Posicao do objeto Virtual 1: X=0,03912413, Y=-0,06013729, Z=0,458428
Posicao do objeto 1 Real no Unity: X=1,617629, Y=0,9616476, Z=3,663684
