real_x,real_y,real_z,virtual_x,virtual_y,virtual_z
0.1181896,1.526048,3.779049,-0.0188491,-0.007357061,0.4026221
0.1509762,1.509017,3.786379,-0.01953307,-0.01589155,0.4063337
0.2406966,1.336188,3.830423,-0.01681796,-0.02088997,0.4023967
0.3160889,1.247273,3.844516,-0.0152891,-0.02230018,0.3976729
0.2747712,1.248335,3.84296,-0.0148699,-0.02163899,0.3967701
0.275473,1.252782,3.84236,-0.01429704,-0.02632913,0.3988831
0.342071,1.182931,3.859797,-0.0130108,-0.0259617,0.3995073
0.3606942,1.179166,3.863383,-0.01092353,-0.02306882,0.3998288
0.2913808,1.259231,3.848975,-0.01288989,-0.02049142,0.4006484
0.3236956,1.215518,3.85761,-0.01394841,-0.02160066,0.4002719
0.2826791,1.274158,3.84592,-0.01510286,-0.02487445,0.4029263
0.2728189,1.274832,3.846496,-0.01477852,-0.02704385,0.4042125
0.2984175,1.20676,3.856041,-0.01388294,-0.0286575,0.4010036
0.312879,1.224262,3.857261,-0.01389763,-0.03125057,0.404739
0.3514024,1.121023,3.873961,-0.01239422,-0.03470212,0.4029036
0.3524378,1.141592,3.875273,-0.01137194,-0.03595874,0.4063621
0.3656459,1.131456,3.879822,-0.01156858,-0.0366523,0.4077599
0.3721149,1.137503,3.885133,-0.01119021,-0.03492364,0.4105507
0.3786725,1.138004,3.885497,-0.009635448,-0.03387883,0.4102399
0.3791845,1.136079,3.88336,-0.009829223,-0.03505385,0.4092073
0.4033231,1.135025,3.887982,-0.01315993,-0.03803867,0.4129202
0.3748899,1.133775,3.886352,-0.01406401,-0.03920934,0.4120002
0.3846638,1.086484,3.892863,-0.01403078,-0.04115066,0.4109446
0.3980027,1.064536,3.89787,-0.01421064,-0.04271418,0.4117569
0.379815,1.075789,3.904423,-0.01992396,-0.04927573,0.4183037
0.3494304,1.065089,3.900772,-0.02296159,-0.05472916,0.4170129
0.3213985,1.038965,3.906425,-0.02439448,-0.05685765,0.4179581
0.2682518,1.050158,3.905488,-0.02368277,-0.05744304,0.4192457
0.3102954,1.020806,3.909084,-0.0242244,-0.06030282,0.4190161
0.3269421,0.982751,3.913137,-0.02603251,-0.06226009,0.4183536
0.2727588,1.031333,3.903272,-0.0273447,-0.0602012,0.4175556
0.2670096,1.111558,3.896671,-0.03055844,-0.06751013,0.4252172
0.2748877,1.094379,3.902413,-0.03115141,-0.067678,0.4265517
0.2783549,1.073082,3.904935,-0.03097892,-0.06569138,0.4249796
0.2915778,1.114684,3.89555,-0.03311539,-0.07219797,0.4267132
0.3450984,1.054127,3.906488,-0.0335812,-0.0748757,0.4272782
0.3145065,1.05425,3.903905,-0.03299034,-0.07591631,0.4259508
0.3462368,0.9825858,3.910413,-0.03279185,-0.07633063,0.4228239
0.3248744,1.028187,3.907902,-0.0342471,-0.07833339,0.426186
0.2968628,0.9363214,3.911283,-0.03630674,-0.07784948,0.4192646
0.2471785,0.9802106,3.90569,-0.03632611,-0.07853109,0.4205949
0.2848819,0.9581152,3.911501,-0.03514996,-0.07831445,0.4216661
0.2794152,0.9869392,3.910408,-0.03485435,-0.07763427,0.4230958
0.3148136,0.9657153,3.917305,-0.03690198,-0.07560602,0.4243468
0.2583096,1.022417,3.915379,-0.03670868,-0.07309367,0.4276794
0.2644091,0.9524254,3.92903,-0.03446206,-0.06396985,0.4262998
0.2354067,1.170537,3.906256,-0.03146353,-0.06631225,0.4371279
0.1371177,1.391888,3.859889,-0.03201899,-0.07200947,0.4485757
0.174106,1.342335,3.881092,-0.03241745,-0.07168853,0.4507853
0.206751,1.325339,3.883896,-0.02942213,-0.06409353,0.4461612
0.1456987,1.403324,3.859169,-0.03159857,-0.0696677,0.4489179
0.2406904,1.235846,3.899154,-0.03699923,-0.07257149,0.4446563
0.208111,1.270161,3.889913,-0.03786087,-0.07305214,0.4448276
0.1639457,1.311638,3.878126,-0.03865397,-0.07440788,0.4457526
0.1839654,1.218043,3.895985,-0.03910741,-0.07355261,0.440975
0.1511559,1.18877,3.896465,-0.03992951,-0.07074967,0.4368773
0.09070495,1.247071,3.880783,-0.04207391,-0.07327664,0.4390802
0.2325533,1.115788,3.917801,-0.04466754,-0.07204871,0.4390666
0.2141423,1.133163,3.918692,-0.04406866,-0.06902653,0.4407644
0.1918597,1.090401,3.915609,-0.03948575,-0.07203627,0.4350579
0.1954942,1.145658,3.910931,-0.03902817,-0.07324108,0.4392929
0.198803,1.104373,3.916485,-0.03865027,-0.07546861,0.437871
0.2950633,1.004105,3.934199,-0.0386169,-0.07567273,0.4366328
0.1594861,1.144182,3.909301,-0.03967151,-0.07690838,0.4398704
0.2402442,1.062929,3.926863,-0.04041159,-0.07874729,0.4395773
0.2639287,1.027353,3.93251,-0.04071647,-0.07816818,0.4386888
0.2607812,1.032424,3.931156,-0.04071894,-0.07797256,0.4384073
0.2606266,1.005847,3.933972,-0.04028034,-0.07875578,0.4375637
0.293486,0.9923189,3.939598,-0.04092082,-0.07728268,0.4386367
0.2482057,1.007236,3.935173,-0.04061788,-0.07693486,0.4378209
0.2995766,0.9946321,3.940195,-0.04101366,-0.07857235,0.439612
0.2134404,1.005829,3.934181,-0.04250231,-0.08313532,0.4400663
0.2584819,0.9388595,3.94316,-0.04520792,-0.08495112,0.4393514
0.253774,0.8991475,3.941711,-0.04852697,-0.08425575,0.4347634
0.2344461,0.9491222,3.940506,-0.04981777,-0.08558239,0.4386013
0.2202907,0.9657151,3.937678,-0.05091283,-0.0874958,0.4393166
0.2283221,0.9273126,3.941091,-0.05030861,-0.09051104,0.4390941
0.219866,0.9110496,3.940385,-0.0505513,-0.09085535,0.4376354
0.2356864,0.8204245,3.949586,-0.04997855,-0.08870076,0.4363998
0.215671,0.8594112,3.949518,-0.04784018,-0.08700631,0.4388485
0.4945962,0.7487943,3.985298,-0.04501468,-0.07896039,0.451174
0.252513,0.8941633,3.959163,-0.042739,-0.07076225,0.4417831
0.2514704,1.092209,3.938617,-0.03467074,-0.06621872,0.44494
0.2845522,1.107738,3.940672,-0.03647891,-0.07033488,0.4488082
0.2856385,1.087421,3.944517,-0.03719804,-0.07347357,0.4495809
0.2983499,1.048383,3.947256,-0.03776953,-0.07267697,0.4468246
0.3567624,1.017362,3.957346,-0.03983977,-0.07236095,0.4498681
0.2749804,1.059688,3.945946,-0.04052302,-0.0722927,0.4477149
0.1849142,1.115022,3.933141,-0.0405992,-0.07601875,0.449044
0.1914695,1.095226,3.939559,-0.04218122,-0.07845263,0.4507848
0.2049195,1.06188,3.943261,-0.04306361,-0.07993418,0.4495301
0.2087925,0.9971082,3.952444,-0.04416764,-0.08232202,0.4494047
0.2548383,0.9745426,3.958314,-0.04410285,-0.08359034,0.4507401
0.267997,0.9668077,3.962431,-0.04405028,-0.08477037,0.4523847
0.2389665,0.9919025,3.957569,-0.04479992,-0.08652112,0.4523765
0.2139786,1.030993,3.951771,-0.04623127,-0.0893129,0.454005
0.2823091,0.8896648,3.967897,-0.04378095,-0.08818879,0.4503059
0.3369815,0.9971001,3.992765,-0.04454961,-0.07909256,0.4693252
0.1979579,1.137878,3.948099,-0.0443911,-0.07649806,0.4593886
0.1185081,1.221302,3.930813,-0.04504001,-0.06855437,0.4591435
0.05860913,1.296499,3.90531,-0.04432684,-0.06860414,0.4580567
0.09773654,1.275408,3.912731,-0.04435605,-0.07038543,0.4584379
0.1683869,1.141671,3.941819,-0.04241383,-0.06825535,0.4545764
0.1895805,1.148367,3.948016,-0.04425243,-0.067459,0.4578764
0.1749304,1.161483,3.952532,-0.04537183,-0.06461066,0.4608736
0.02280131,1.407431,3.888235,-0.04940906,-0.06424195,0.4654069
0.09766391,1.287331,3.930059,-0.05137655,-0.06081972,0.4649433
0.0934543,1.269542,3.928425,-0.04919758,-0.04951254,0.4577572
