Posicao do objeto Virtual: X=0,03320962, Y=-0,06455469, Z=0,493919
Posicao do objeto Real no Unity: X=-1,831599, Y=2,354149, Z=1,291254
Posicao do objeto Virtual: X=0,0335173, Y=-0,0642941, Z=0,4950731
Posicao do objeto Real no Unity: X=-1,823322, Y=2,356081, Z=1,30411
Posicao do objeto Virtual: X=0,03342372, Y=-0,06468064, Z=0,4931341
Posicao do objeto Real no Unity: X=-1,810548, Y=2,352547, Z=1,34552
Posicao do objeto Virtual: X=0,03402311, Y=-0,06526494, Z=0,4889783
Posicao do objeto Real no Unity: X=-1,82203, Y=2,344698, Z=1,319863
Posicao do objeto Virtual: X=0,03496283, Y=-0,06523401, Z=0,4868898
Posicao do objeto Real no Unity: X=-1,838718, Y=2,328606, Z=1,311418
Posicao do objeto Virtual: X=0,03635246, Y=-0,06570536, Z=0,4858471
Posicao do objeto Real no Unity: X=-1,834514, Y=2,319446, Z=1,337351
Posicao do objeto Virtual: X=0,03717995, Y=-0,06632632, Z=0,4807271
Posicao do objeto Real no Unity: X=-1,83282, Y=2,312603, Z=1,349762
Posicao do objeto Virtual: X=0,03893614, Y=-0,06697285, Z=0,4788493
Posicao do objeto Real no Unity: X=-1,825934, Y=2,314428, Z=1,353186
Posicao do objeto Virtual: X=0,03958374, Y=-0,06807053, Z=0,4787358
Posicao do objeto Real no Unity: X=-1,810722, Y=2,319057, Z=1,371535
Posicao do objeto Virtual: X=0,04003727, Y=-0,06955165, Z=0,4779968
Posicao do objeto Real no Unity: X=-1,800611, Y=2,313727, Z=1,377565
Posicao do objeto Virtual: X=0,04088908, Y=-0,0718798, Z=0,4715253
Posicao do objeto Real no Unity: X=-1,802222, Y=2,312618, Z=1,381084
Posicao do objeto Virtual: X=0,04170126, Y=-0,07193893, Z=0,4735005
Posicao do objeto Real no Unity: X=-1,80034, Y=2,305574, Z=1,403694
Posicao do objeto Virtual: X=0,04326212, Y=-0,07221329, Z=0,4731834
Posicao do objeto Real no Unity: X=-1,778631, Y=2,294544, Z=1,465081
Posicao do objeto Virtual: X=0,04510701, Y=-0,07368237, Z=0,4667226
Posicao do objeto Real no Unity: X=-1,804613, Y=2,28869, Z=1,401718
Posicao do objeto Virtual: X=0,05273366, Y=-0,07424158, Z=0,4761099
Posicao do objeto Real no Unity: X=-1,741017, Y=2,321514, Z=1,3611
Posicao do objeto Virtual: X=0,04841042, Y=-0,07663059, Z=0,4475603
Posicao do objeto Real no Unity: X=-1,739658, Y=2,321642, Z=1,353862
Posicao do objeto Virtual: X=0,04649669, Y=-0,07722533, Z=0,4439999
Posicao do objeto Real no Unity: X=-1,748987, Y=2,314324, Z=1,331459
Posicao do objeto Virtual: X=0,04558951, Y=-0,07841128, Z=0,4401191
Posicao do objeto Real no Unity: X=-1,754192, Y=2,315279, Z=1,297009
Posicao do objeto Virtual: X=0,04312176, Y=-0,07977235, Z=0,4374838
Posicao do objeto Real no Unity: X=-1,755386, Y=2,307781, Z=1,317209
Posicao do objeto Virtual: X=0,04253274, Y=-0,08033848, Z=0,435303
Posicao do objeto Real no Unity: X=-1,751888, Y=2,310206, Z=1,324813
Posicao do objeto Virtual: X=0,0421353, Y=-0,0802319, Z=0,4358135
Posicao do objeto Real no Unity: X=-1,759155, Y=2,313731, Z=1,293429
Posicao do objeto Virtual: X=0,0399006, Y=-0,07998616, Z=0,4353527
Posicao do objeto Real no Unity: X=-1,778734, Y=2,299696, Z=1,271229
Posicao do objeto Virtual: X=0,03879112, Y=-0,08065021, Z=0,4322802
Posicao do objeto Real no Unity: X=-1,788519, Y=2,290862, Z=1,261525
Posicao do objeto Virtual: X=0,03837937, Y=-0,08165568, Z=0,4307456
Posicao do objeto Real no Unity: X=-1,775612, Y=2,291993, Z=1,287071
Posicao do objeto Virtual: X=0,03749967, Y=-0,08320338, Z=0,4281729
Posicao do objeto Real no Unity: X=-1,780166, Y=2,286031, Z=1,28402
Posicao do objeto Virtual: X=0,03764004, Y=-0,08366847, Z=0,426421
Posicao do objeto Real no Unity: X=-1,757792, Y=2,299847, Z=1,285636
Posicao do objeto Virtual: X=0,0371182, Y=-0,08500254, Z=0,4246735
Posicao do objeto Real no Unity: X=-1,74385, Y=2,307369, Z=1,299879
Posicao do objeto Virtual: X=0,03651673, Y=-0,08508492, Z=0,4237908
Posicao do objeto Real no Unity: X=-1,729482, Y=2,31579, Z=1,313612
Posicao do objeto Virtual: X=0,03584665, Y=-0,08519918, Z=0,4235239
Posicao do objeto Real no Unity: X=-1,673737, Y=2,314395, Z=1,488718
Posicao do objeto Virtual: X=0,03365588, Y=-0,08072442, Z=0,4158595
Posicao do objeto Real no Unity: X=-1,625654, Y=2,319614, Z=1,581924
Posicao do objeto Virtual: X=0,03284705, Y=-0,08064628, Z=0,4148509
Posicao do objeto Real no Unity: X=-1,641648, Y=2,314645, Z=1,555234
Posicao do objeto Virtual: X=0,03361142, Y=-0,08040822, Z=0,4134452
Posicao do objeto Real no Unity: X=-1,65762, Y=2,298498, Z=1,548226
Posicao do objeto Virtual: X=0,03499973, Y=-0,08027124, Z=0,409574
Posicao do objeto Real no Unity: X=-1,658209, Y=2,29794, Z=1,54199
Posicao do objeto Virtual: X=0,0349052, Y=-0,08040571, Z=0,4079838
Posicao do objeto Real no Unity: X=-1,594991, Y=2,284021, Z=1,68644
Posicao do objeto Virtual: X=0,03577107, Y=-0,08120656, Z=0,4050297
Posicao do objeto Real no Unity: X=-1,645505, Y=2,279791, Z=1,593714
Posicao do objeto Virtual: X=0,03654385, Y=-0,08107907, Z=0,4034606
Posicao do objeto Real no Unity: X=-1,631354, Y=2,27322, Z=1,631825
Posicao do objeto Virtual: X=0,03657287, Y=-0,08106154, Z=0,4017439
Posicao do objeto Real no Unity: X=-1,588942, Y=2,264665, Z=1,731419
Posicao do objeto Virtual: X=0,03675944, Y=-0,07981735, Z=0,4013531
Posicao do objeto Real no Unity: X=-1,568613, Y=2,25584, Z=1,781862
Posicao do objeto Virtual: X=0,03602028, Y=-0,07865953, Z=0,3987808
Posicao do objeto Real no Unity: X=-1,533926, Y=2,23076, Z=1,869663
Posicao do objeto Virtual: X=0,03703898, Y=-0,07925272, Z=0,3961001
